Sold_Price,DOM,Garage_Capacity,Quadrant,School_District,Total_Bedrooms,Total_Bathrooms,Total_SQ,month_sold
176000,5,2,NW,Cache,3,1,1031,9
225000,6,2,NW,Cache,4,2,2091,7
274900,14,2,NW,Cache,3,1,2016,11
175000,16,1,NW,Cache,4,1,1920,6
179000,29,0,NW,Cache,4,2,1329,9
299900,130,2,NW,Cache,6,3,2765,9
424000,463,6,NW,Cache,4,4,5000,12
775000,37,2,SE,Cache,5,4,5180,8
611000,38,2,SE,Cache,5,3,4308,11
1131310,115,2,SE,Cache,4,2,2116,4
689000,130,2,SE,Cache,5,4,5459,9
249900,1,2,NW,Cache,4,2,2996,6
344900,4,3,NW,Cache,4,3,1918,7
284000,23,2,NW,Cache,5,3,2610,5
290000,91,2,NW,Cache,3,2,1937,5
280000,116,2,NW,Cache,5,3,3319,6
328000,341,2,NW,Cache,4,2,2348,6
196000,3,0,SE,Cache,2,1,1165,4
274000,4,2,NW,Cache,7,3,2688,7
309000,4,2,NE,Cache,3,2,3448,9
244000,5,2,SE,Cache,3,2,2200,12
307019,8,2,NE,Cache,3,2,3184,10
249900,9,1,NE,Cache,4,2,2116,5
199900,12,0,NE,Cache,3,1,2280,3
312000,14,2,NW,Cache,3,2,3120,8
220900,44,0,NW,Cache,4,1,1536,7
295000,47,2,NW,Cache,3,2,2638,3
175000,84,0,NE,Cache,4,2,1866,12
255000,93,2,SE,Cache,3,3,3777,2
210000,164,0,NW,Cache,3,2,2280,4
308000,2,1,SW,Cache,2,1,2084,11
162000,3,2,SW,Cache,4,1,1884,9
174000,7,0,SW,Cache,4,2,1756,9
162000,61,0,SW,Cache,6,3,3952,9
254500,64,2,SW,Cache,4,3,1918,6
205000,192,0,SW,Cache,4,2,1756,8
145000,6,2,NW,Cache,2,2,1477,10
180000,7,0,NW,Cache,3,2,2700,6
124000,8,1,NW,Cache,2,1,842,10
183000,39,0,NW,Cache,3,2,1680,9
239000,47,2,NW,Cache,3,2,1749,1
136000,54,0,NW,Cache,2,1,891,2
183500,54,0,NW,Cache,6,2,3014,5
226600,2,0,NE,Cache,3,1,1480,10
170000,3,2,NE,Cache,3,1,1744,5
270000,5,3,NE,Cache,2,1,1828,10
235000,11,0,NE,Cache,6,2,2330,9
600000,40,2,NE,Cache,4,4,3484,5
276500,100,0,NE,Cache,4,3,3284,6
622500,167,2,NE,Cache,4,4,3484,7
285000,1,2,NW,Cache,5,2,2464,6
397000,1,3,NE,Cache,5,4,3312,10
395000,1,3,NE,Cache,5,4,3312,7
405000,1,3,NE,Cache,5,4,3059,7
565000,1,3,NE,Cache,6,3,3475,10
210000,2,2,SW,Cache,5,2,2369,10
315000,2,2,SW,Cache,4,3,2551,6
345000,2,2,NE,Cache,5,3,3170,6
487000,2,3,NE,Cache,6,5,4526,6
226125,3,2,NE,Cache,3,1,1720,3
278750,3,2,NE,Cache,3,3,2562,9
278500,3,2,NE,Cache,3,2,2959,3
299900,3,2,NW,Cache,4,2,2301,2
320000,3,1,SE,Cache,3,2,2478,5
318000,3,2,NE,Cache,5,3,2839,7
363900,3,3,NE,Cache,3,2,3115,1
378000,3,4,SE,Cache,3,2,3860,2
420000,3,2,NW,Cache,5,4,3252,7
471000,3,3,NE,Cache,3,3,4394,6
228000,4,2,NW,Cache,2,2,1331,6
255000,4,2,NW,Cache,3,2,1397,12
259900,4,2,SW,Cache,3,2,1500,5
287726,4,2,NE,Cache,3,2,1778,5
295000,4,3,NW,Cache,5,3,2523,3
314900,4,0,NE,Cache,4,2,2944,6
360000,4,2,NW,Cache,5,3,2536,10
385000,4,2,NE,Cache,3,3,2936,7
466400,4,3,SW,Cache,4,3,3244,6
450000,4,3,NE,Cache,5,4,3312,9
194900,5,1,SE,Cache,4,1,1881,6
242500,5,2,NE,Cache,3,3,1741,8
275000,5,2,NE,Cache,4,2,2526,6
370000,5,2,NE,Cache,3,2,2806,9
435000,5,3,NE,Cache,5,4,3569,9
500000,5,3,NE,Cache,5,3,3908,6
478120,5,3,SE,Cache,5,3,4417,7
624900,5,4,SE,Cache,6,5,4768,2
185000,6,0,SE,Cache,5,3,2160,6
219000,6,1,NW,Cache,3,2,1838,5
241900,6,2,SW,Cache,4,2,1669,4
246000,6,2,NW,Cache,4,2,1638,8
288000,6,1,NW,Cache,3,2,2486,6
388285,6,3,NE,Cache,3,2,3645,7
412000,6,3,NE,Cache,6,3,3739,6
425000,6,3,NE,Cache,5,3,3460,2
685000,6,3,SE,Cache,6,4,4846,9
255000,7,2,NW,Cache,6,2,2160,12
295000,7,2,SE,Cache,5,2,2485,6
299000,8,2,SW,Cache,3,2,1500,11
302000,8,2,SE,Cache,4,3,2916,10
490000,8,13,SW,Cache,4,3,2656,5
202000,9,1,NW,Cache,4,1,1588,1
349000,10,2,NE,Cache,4,2,2432,11
785000,10,7,NE,Cache,5,4,5974,11
192500,11,1,NW,Cache,4,1,1303,5
210000,11,0,NW,Cache,4,2,1908,2
440000,11,3,SW,Cache,4,3,2555,11
221900,12,2,NE,Cache,4,2,2096,4
394000,13,3,SW,Cache,4,3,2555,3
494900,13,3,NE,Cache,6,5,4526,5
406000,14,2,SE,Cache,5,3,3526,9
312500,15,2,NE,Cache,5,3,3083,6
453000,15,3,NE,Cache,5,3,3804,8
269900,18,2,SW,Cache,2,2,1215,8
224000,19,0,NW,Cache,3,1,1616,10
285000,19,2,SW,Cache,3,2,1545,5
559900,19,3,SE,Cache,7,5,4955,6
355000,21,3,SE,Cache,3,2,3448,5
380000,22,6,NE,Cache,3,2,2131,9
288000,23,2,NE,Cache,6,3,2700,3
355000,23,3,NE,Cache,3,2,3519,7
440000,25,3,NE,Cache,5,3,2919,8
268000,27,2,SE,Cache,4,2,2294,2
345500,27,2,SE,Cache,5,4,2702,8
375000,27,4,SE,Cache,3,2,3860,6
